count,mean,std,min,50%,max,t,p,r,f1,mcp,mcr,mcf1,batch_size,hashtag_split,svd,binary,tfidf_weights,save,save_results,lang,dataset,annotation,text+,remove_mentions,sub_model,model,window,distance,datetime_of_run,ami,ari,cluster_algo,daily
1626.0,44.76629766297663,266.7171630058985,1.0,1.0,5970.0,0.55,0.6362437578646694,0.7527025244753015,0.5467213893411413,0.7995283018867925,0.4958677685950413,0.6121067124091545,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,sentence-transformers/all-mpnet-base-v2,sbert,2504,cosine,,,,,
973.0,74.8098663926002,481.3331471919233,1.0,1.0,7404.0,0.6,0.4880648475441511,0.7585089623722417,0.4043486196489561,0.7619047619047619,0.3388429752066115,0.4690740078655702,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,sentence-transformers/all-mpnet-base-v2,sbert,2504,cosine,,,,,
2528.0,37.89398734177215,846.5890254853665,1.0,1.0,31159.0,0.01,0.2007444646008418,0.280225692494024,0.0179052191258368,0.515625,0.0245901639344262,0.0469416785206258,8,True,False,True,False,True,True,fr,data/event2018.tsv,annotated,False,False,almanach/camembert-large,sbert,4352,cosine,,,,,
93.0,1030.0645161290322,4389.079986310025,1.0,2.0,32023.0,0.03,0.0277121030275464,0.2952798501109708,0.0150724433842229,0.1034482758620689,0.0122950819672131,0.0219780219780219,8,True,False,True,False,True,True,fr,data/event2018.tsv,annotated,False,False,almanach/camembert-large,sbert,4352,cosine,,,,,
50.0,1915.92,5870.770358795708,1.0,2.5,32028.0,0.04,0.0172699669268052,0.3017048872409222,0.0146791718397282,0.1111111111111111,0.0081967213114754,0.015267175572519,8,True,False,True,False,True,True,fr,data/event2018.tsv,annotated,False,False,almanach/camembert-large,sbert,4352,cosine,,,,,
40.0,2394.9,6490.701296707231,1.0,4.0,32029.0,0.05,0.017167963436489,0.3017051031704774,0.014675358494555,0.1052631578947368,0.0081967213114754,0.0152091254752851,8,True,False,True,False,True,True,fr,data/event2018.tsv,annotated,False,False,almanach/camembert-large,sbert,4352,cosine,,,,,
25.0,3831.84,7929.777779988542,1.0,7.0,32029.0,0.07,0.0092087291133123,0.3125610555516203,0.0136541461310893,0.0666666666666666,0.0040983606557377,0.0077220077220077,8,True,False,True,False,True,True,fr,data/event2018.tsv,annotated,False,False,almanach/camembert-large,sbert,4352,cosine,,,,,
21.0,4561.714285714285,8484.40922010989,1.0,68.0,32029.0,0.1,0.0092038449082406,0.3125871944579175,0.0136470234823587,0.0769230769230769,0.0040983606557377,0.0077821011673151,8,True,False,True,False,True,True,fr,data/event2018.tsv,annotated,False,False,almanach/camembert-large,sbert,4352,cosine,,,,,
28832.0,3.322558268590455,35.26576003056194,1.0,1.0,3077.0,0.55,0.98216371783462,0.566923396682402,0.6777686941327716,0.986279257465698,0.9549180327868853,0.9703453152823098,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_dataset_mod_transform_sck,4352,cosine,2024-07-02-17-59,,,,
28832.0,3.322558268590455,35.26576003056194,1.0,1.0,3077.0,0.55,0.98216371783462,0.566923396682402,0.6777686941327716,0.986279257465698,0.9549180327868853,0.9703453152823098,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_dataset_mod_transform_sck,4352,cosine,2024-07-02-18-03,,,,
18957.0,5.053331223294825,63.25054477166911,1.0,1.0,5407.0,0.6,0.9655884130573544,0.6349538979575456,0.7303217277156326,0.9711815561959656,0.9508196721311476,0.9608927561880884,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_dataset_mod_transform_sck,4352,cosine,2024-07-02-18-04,,,,
11945.0,8.019757220594391,108.18988330123769,1.0,1.0,8839.0,0.65,0.934023617873185,0.6776175095398148,0.7460418268154305,0.9526627218934912,0.9344262295081968,0.9434563585894932,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_dataset_mod_transform_sck,4352,cosine,2024-07-02-18-05,,,,
6545.0,14.63651642475172,194.3136840381777,1.0,1.0,13212.0,0.7,0.8983478486480585,0.7251789501831033,0.7523727486041164,0.9216589861751152,0.8770491803278688,0.8988008988008989,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_dataset_mod_transform_sck,4352,cosine,2024-07-02-18-05,,,,
2999.0,31.94264754918306,350.4324271084306,1.0,1.0,15870.0,0.75,0.7865193243164741,0.756311064893319,0.6823679435468429,0.8494117647058823,0.7540983606557377,0.7989223256597147,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_dataset_mod_transform_sck,4352,cosine,2024-07-02-18-06,,,,
